ID	payment_type	power_consumption	HHH	HGEW	MTREG0G	MTKAU0G	MTSTR0G	MTBEB0G	MTSTA0G	MTBON0G	MTADE0G	MTALT0G	MTFAM0G	MTKDI0G	MTKLE0G	MTKKL0G	MTKGB0G	MTKGL0G	SCMWGR2	SCMWGR3	SCMWGR4	SCMWGR5	SCMWGR6	SCMWGR7	SCMWGR21	SCMWGR22	PHARM1	PHARM2	PHARM3	PHARM4	PHARM5	PHARM6	canceler
4453	2	1260	6	0	15	-6	1	3	3	1	9	6	2	8	2	0	1	2	2	4	5	3	2	4	3	4	4	4	6	1	4	7	no
31323	2	2930	1	0	16	-9	3	1	3	5	7	4	6	8	1	0	7	3	3	1	3	4	4	5	4	1	7	2	7	4	4	7	no
5927	2	1460	4	0	16	-8	1	2	5	6	7	4	5	9	1	3	5	1	4	5	3	1	3	4	2	4	2	1	7	3	3	6	no
15473	1	2815	3	0	13	-7	1	2	4	8	5	3	4	6	2	0	6	0	3	5	1	5	5	3	5	1	1	6	7	1	1	7	no
18254	1	2	1	0	16	-6	1	1	1	1	9	5	6	10	1	6	6	1	2	5	3	2	5	5	3	3	5	2	1	5	5	6	no
21430	1	0	2	0	15	-8	1	1	1	1	9	4	4	4	2	3	3	3	1	1	3	3	5	1	3	4	1	1	1	2	7	7	no
30382	2	6165	2	0	13	-3	1	1	3	3	9	5	2	9	3	6	6	1	4	2	2	3	5	1	4	1	6	3	7	1	1	5	no
38237	2	49	1	0	16	-9	1	1	3	3	6	3	5	10	1	0	6	3									4	1	1	6	6	7	no
2266	1	0																															no
34313	1	992	1	0	14	-9	1	1	2	4	8	4	5	9	1		7	1															no
6664	1	5	5	0	13	-6	1	2	4	3	6	4	3	8	1	0	5	0	3	1	4	3	2	2	1	5	1	3	4	5	2	6	no
23627	2	2690	1	0	14	-9	1	1	1	5	9	5	2	10	1	0	8	1	3	4	4	3	5	3	2	1	2	2	1	5	6	7	yes
2418	1	5600																															no
28149	2	3853	1	0	14	-9	1	1	4	1	6	5	7	8	2	3	2	1	2	3	5	1	1	2	5	2	7	2	7	4	4	6	no
6295	2	1706	4	0	12	-5	4	2	6	8	6	5	1	4	2	3	5	0	2	3	3	4	1	3	2	1	7	2	7	4	1	1	no
4468	1	3504	0	1	15	-6	1	0	4	2	8	5	2	3	1	0	4	0	1	1	5	5	1	2	1	2	6	4	2	5	3	7	no
18057	2	1874	1	0	13	-4	1	1	6	2	9	6	5	9	4	3	3	1	4	4	2	3	4	5	5	1	6	2	7	4	3	5	no
36521	2	3737	2	1	16	-8	2	1	4	6	8	5	8	7	3	0	2	0	4	5	3	3	2	4	2	1	6	2	7	4	3	7	no
23794	2	1649	3	1	14	-5	1	2	3	6	5	3	5	10	3		2	0															no
13493	2	2382	1	0	13	-4	1	1	9	2	4	6	2	1	1	0	3	0	1	1	5	1	1	4	1	5	6	5	3	4	6	6	no
32230	2	1873	3	0	15	-7	1	2	1	9	3	3	4	10	2		6	0															no
22690	2	1429	2	0	16	-7	1	1	1	7	9	3	2	3	1	0	7	0	5	1	2	1	3	3	2	2	2	1	2	1	2	7	no
16982	1	6301	1	0	14	-9	1	1	2	1	8	5	5	9	1	0	5	1	1	1	4	1	3	2	2	1	6	1	1	6	6	6	no
22374	2	4291	1	0	13	-2	1	1	8	2	7	4	9	7	6	0	3	3		1			5				7	3	1	1	5	4	no
21554	2	4143	1	0	15	-7	1	1	5	1	8	5	4	4	1	0	9	0	5	2	2	4	1	1	4	1	7	1	7	2	2	6	no
35691	1	539	7	0	15	-5	1	3	2	2	9	6	2	10	2	0	2	0	2	4	5	3	4	3	4	4	1	5	4	4	4	3	no
3125	2	1332	1	0	12	-6	4	1	5	2	9	6	4	8	2	3	6	1	1	5	5	3	1	3	5	5	4	6	6	4	4	5	no
32605	1	1991	4	1	16	-6	3	2	2	9	7	3	9	10	1	0	4	1									5	1	6	3	5	7	no
20676	2	7975	1	0	13	-5	1	1	5	6	7	4	5	10	3		4	3															yes
10130	2	2859	3	0	14	-7	1	2	4	4	5	3	3	9	2	3	5	0	3	1	4	4	1	3	1	2	4	1	7	3	3	6	no
36975	2	6285	3	1	16	-8	4	2	5	6	4	4	8	10	2		5	1															no
16279	2	3113	4	0	13	-7	1	2	3	4	7	4	4	9	1	0	6	0	2	2	4	3	5	1	1	2	6	1	5	5	5	1	no
25029	1	2771																															no
10390	2	2292	1	1	16	-7	3	1	8	2	3	5	7	10	4	6	8	3	2	5	4	2	1	5	2	3	1	2	3	1	5	7	yes
5384	1	136	2	0	15	-9	1	1	5	3	7	5	2	7	7	0	6	3	1	5	5	1	1	3	3	2	5	1	7	4	2	7	no
21963	2	3422																															no
8088	2	3905	2	0	16	-8	1	1	4	5	9	5	6	5	3	0	5	0	5	3	1	4	4	4	2	4	5	1	3	1	5	7	yes
11581	2	785																															no
18628	2	1087																															no
20149	2	1	1	0	14	-7	1	1	1	7	8	4	9	9	2	3	7	2	3	5	4	3	3	5	5	1	7	6	5	6	5	1	no
18929	2	1487	1	0	16	-8	1	1	1	7	6	5	4	10	1	3	5	0	2	4	5	1	1	3	1	2	5	1	7	4	2	4	no
29607	2	2628	1	0	16	-6	1	1	2	2	4	5	6	6	3	0	8	0	4	5	2	2	4	5	3	5	6	1	2	1	2	7	no
29906	2	7950	1	0	16	-9	1	1	1	5	7	5	2	8	6	0	4	0	1	5	5	1	3	3	4	5	5	1	1	6	5	6	no
20754	2	2818	3	0	14	-5	5	2	9	4	8	5	3	8	2	6	4	0	3	5	3	4	5	4	4	3	7	4	5	1	1	4	no
28499	2	4292	1	0	16	-8	4	1	2	7	6	3	1	9	5	3	3	2	3	4	3	3	2	2	3	1	6	2	1	4	5	6	yes
25646	2	278	1	1	14	-8	3	1	3	1	2	4	1	7	1	3	6	0		2			4				6	2	1	4	4	6	no
9530	1	990																															no
19814	2	1130	5	0	16	-8	2	2	6	2	9	5	5	8	1	3	8	0	1	3	5	1	1	5	1	1	5	7	7	4	6	6	no
28421	2	2971	5	1	16	-8	2	2	4	5	9	5	6	7	2	0	3	1	1	1	5	5	2	1	3	1	1	1	6	3	1	7	no
27897	2	983																															no
19392	2	194	4	1	15	-7	4	2	6	7	8	4	5	4	4	6	5	2	2	5	3	1	3	4	2	1	7	2	7	2	1	2	no
14843	2	2351	1	0	13	-5	2	1	8	1	4	5	7	10	8	3	6	2	4	5	2	4	1	3	4	1	4	1	7	3	1	2	no
10170	2	1401	1	1	16	-8	4	1	6	5	6	4	7	6	5	3	7	0	2	2	3	4	2	3	1	2	4	1	3	4	6	6	no
6540	2	363	3	0	16	-6	1	2	9	3	9	6	7	7	4	3	7	0	5	5	1	3	5	3	1	2	6	1	7	5	3	7	no
20106	2	5639	1	0	16	-7	1	1	5	1	9	6	5	10	1	3	5	3	1	1	5	2	5	5	3	2	3	1	1	5	5	7	no
31515	1	6830																															no
5493	1	0	1	0	12	-8	1	1	6	3	8	5	6	8	2	3	1	0	2	2	5	4	4	2	3	5	6	2	1	4	5	6	no
35456	2	898	5	0	13	-5	1	2	3	5	4	4	4	1	2		3	0	3	1	5	4	1	2	4	3	5	1	7	3	2	7	no
27782	1	998	8	0	14	-8	1	3	4	2	9	6	1	2	5	0	3	0	1	5	4	1	2	5	1	1	4	1	4	5	5	7	no
6801	2	1853	7	1	14	-5	1	3	2	5	4	3	5	7	2	6	2	0	1	1	4	2	1	3	2	3	6	1	7	1	1	7	yes
6888	1	4685	1	0	16	-8	3	1	4	3	6	4	7	10	1		9	0															no
19851	2	5363	4	0	14	-6	1	2	7	7	9	4	1	5	5	3	8	3	2	5	5	1	1	4	1	4	3	2	3	4	5	6	no
20747	2	1651	4	0	13	-5	2	2	7	4	9	5	2	6	1	3	1	0	5	5	5	2	2	5	5	2	2	1	6	3	2	1	no
17047	2	4274																															no
31858	2	3873	1	0	14	-8	3	1	9	3	7	4	8	10	5	0	4	2	2	4	2	5	4	5	4	3	7	2	2	5	5	4	no
25872	1	1583																															yes
20431	2	3891	1	0	16	-7	2	1	4	2	5	4	9	4	8	0	1	0	5	3	3	1	1	3	4	4	4	2	6	1	1	7	no
20531	2	1980	2	0	14	-5	1	1	3	3	7	4	6	7	1	0	1	0	3	4	4	3	1	3	2	1	7	2	7	5	1	6	no
19218	2	3902	1	0	12	-2	2	1	7	5	8	3	9	3	6	3	6	0	1	2	5	5	2	2	1	2	5	1	2	4	1	6	yes
32281	2	4398	1	0	16	-2	3	1	2	1	7	6	4	7	4		7	0	5	5	4	5	1	1	1	5	7	7	7	3	7	2	no
21926	2	4091	1	0	14	-8	1	1	1	2	3	3	9	9	3	0	5	0	1	1	3	5	1	3	2	2	2	1	1	6	6	7	no
8670	2	1043	2	0	13	-6	1	1	2	4	5	3	7	8	5	3	3	1	1	1	5	5	1	3	5	1	7	2	1	6	6	6	no
2657	2	116	3	0	13	-5	1	2	5	8	7	3	3	8	3	3	6	3	5	3	3	5	3	2	5	3	4	1	3	2	2	6	no
6346	1	3451	8	0	15	-4	1	3	2	5	7	4	3	10	2	0	6	0	5	1	4	1	5	5	1	2	7	4	2	5	3	6	no
2053	1	7418	3	0	16	-9	1	2	1	6	7	4	5	3	3	3	6	2	3	1	5	5	4	1	5	1	2	6	7	4	5	5	no
15635	2	2059	3	0	12	-6	1	2	2	8	7	2	4	10	2	0	6	0	2	5	3	5	4	3	3	4	4	1	6	2	1	3	no
22465	2	706	2	0	14	-8	3	1	2	4	9	5	5	4	3	6	7	0	2	1	5	3	4	5	2	1	6	1	7	1	3	7	no
11189	1	870	7	0	13	-6	2	3	5	5	5	5	7	2	5	3	3	3	1	3	3	4	2	4	4	1	3	6	7	4	5	5	no
4653	2	553	2	0	16	-8	1	1	1	4	6	5	6	9	2		2	3															yes
15981	1	1202	4	0	16	-7	3	2	4	8	8	3	3	7	1	0	6	0	5	5	4	1	1	5	5	5	4	1	4	5	5	6	no
8824	2	2553	1	0	15	-3	3	1	6	4	8	4	8	8	4	0	7	0	5	3	4	3	1	3	4	2	7	1	7	2	1	1	no
38263	1	2163	6	0	14	-6	4	3	4	7	9	5	3	10	3	3	8	1	2	5	2	2	2	5	5	3	4	6	7	2	3	6	yes
23971	2	253	2	1	16	-8	2	1	9	3	8	4	6	5	5	3	8	3	4	3	4	2	5	1	5	4	4	6	7	2	5	6	no
2689	2	3202	1	0	14	-8	1	1	7	1	6	5	6	5	3	0	1	3	1	1	3	2	1	3	4	1	7	2	1	6	3	4	no
15807	2	7158	1	0	16	-9	1	1	2	9	5	4	6	8	1	3	6	2	3	4	2	2	4	5	3	1	2	1	1	5	6	7	no
3546	1	0	1	0	14	-8	1	1	3	2	8	5	5	10	2	0	8	1	1	1	4	1	1	1	5	5	5	2	1	5	5	7	no
25755	2	5669	1	0	16	-8	4	1	2	7	4	5	9	6	9	0	9	2	5	1	1	2	1	4	3	2	3	1	3	1	2	7	no
7452	2	2492	1	0	14	-8	3	1	6	8	8	3	7	7	2	0	8	0	2	3	3	5	1	2	5	1	6	7	7	7	6	7	no
12228	2	4646	4	0	15	-7	1	2	3	7	4	6	1	8	1		8	0															no
15565	1	4652	2	0	16	-9	3	1	2	3	8	6	5	8	1	6	9	0	1	1	3	1	1	5	5	1	1	2	3	2	4	7	no
37495	1	1091																															no
16288	2	2299	1	0	14	-6	1	1	2	2	4	6	9	8	7	0	1	2	4	1	4	2	2	1	4	1	1	2	1	4	6	7	no
23451	2	1878	4	0	13	-9	1	2	2	4	8	3	3	7	3	0	7	1	4	1	2	5	2	4	4	1	5	1	3	7	3	7	no
9542	2	1038	7	0	13	-6	1	3	3	3	4	5	2	10	4		8	1	2	2	2	3	4	5	1	4	1	5	1	2	7	4	no
1277	2	2912	1	0	13	-6	1	1	6	1	7	6	4	10	5	0	7	3	5	4	2	4	3	5	5	3	2	1	2	1	4	7	no
1978	2	899	10	0	14	-9	1	4	4	2	6	5	2	7	1	0	6	0	3	5	5	1	2	3	1	4	2	1	7	4	3	5	no
33014	1	2912	2	0	12	-5	1	1	9	1	7	5	5	4	2		7	0															no
5026	2	1495																															no
28838	2	1800																															no
12492	2	1146	5	0	15	-6	1	2	3	8	6	5	6	3	5	0	4	3	1	1	5	1	1	4	2	4	3	1	4	5	4	6	no
16912	1	3614																															no
9649	1	1460	3	0	13	-7	1	2	3	8	4	5	2	7	1	0	9	0	4	3	3	4	1	4	4	2	4	2	5	3	1	7	no
27361	1	0	1	0	16	-7	3	1	8	8	7	4	3	2	2	6	7	0	5	1	2	4	3	3	3	1	1	6	7	1	4	7	no
34551	1	3455	2	0	14	-8	1	1	1	2	7	4	9	10	3	0	5	0	1	1	5	2	1	2	4	3	7	2	7	4	3	7	no
26654	1	2036	1	0	15	-5	3	1	4	5	6	4	5	9	2	0	4	1	1	5	2	5	1	2	3	1	1	5	5	4	1	1	no
16199	1	1	2	0	16	-5	3	1	5	5	9	6	7	8	1	0	1	2	5	1	2	4	5	3	2	4	3	5	7	4	5	6	no
28940	1	2066	4	0	16	-9	1	2	1	3	4	5	2	2	1	0	5	3	1	1	4	3	3	3	2	5	3	1	7	3	4	6	no
29664	2	3325																															no
4133	2	2249	3	1	12	-6	2	2	6	6	7	5	6	3	1	6	5	0	5	4	2	5	3	4	5	3	7	2	7	3	1	2	no
33986	2	1413	8	0	13	-5	1	3	5	4	7	4	2	5	1	3	4	0	4	5	3	2	2	2	2	2	1	3	7	2	4	7	yes
36340	2	1541	6	0	15	-5	1	3	1	8	9	4	7	4	2	3	7	0	1	1	2	4	1	5	3	3	2	1	7	7	2	6	no
37748	2	2061	14	0	12	-5	1	4	3	4	9	5	1	3	9		4	0															no
16322	1	2980	1	0	14	-8	3	1	3	6	9	5	9	10	2	3	3	0	2	1	3	2	2	1	2	2	5	2	1	4	3	4	no
9854	1	2513	1	0	15	-9	1	1	1	2	8	4	9	10	2	0	7	1	4	4	4	3	3	2	1	1	2	2	1	2	7	6	no
16228	2	1585	4	0	13	-3	1	2	3	3	9	5	6	2	8		2	0															no
18148	2	4741	1	0	15	-7	1	1	2	4	9	4	8	6	5		5	0															no
1511	2	2974	1	0	12	-6	2	1	6	2	6	4	6	6	3	3	6	0	3	3	1	2	1	5	4	2	3	1	3	2	5	7	no
7595	1	15	1	0	13	-3	1	1	9	2	7	5	7	10	1	0	3	1	3	5	4	1	2	4	3	5	7	3	1	6	3	3	no
37293	2	5165	5	0	15	-9	1	2	8	7	8	4	3	10	1	0	8	0	5	5	4	1	5	5	1	2	4	1	7	2	6	6	no
9590	2	2307	1	1	14	-5	1	1	7	1	8	5	6	9	2	6	5	2	3	2	4	4	2	3	2	2	5	2	1	5	3	4	no
24258	1	0	1	1	14	-9	3	1	2	1	9	6	5	10	1	3	5	3	1	5	5	5	3	1	5	3	2	5	6	3	1	7	no
25306	1	851	8	0	12	-4	1	3	6	8	7	4	6	7	4	0	2	1	5	5	1	5	5	5	2	3	6	1	6	5	2	7	no
3692	2	1915	10	0	13	-5	1	4	4	2	2	5	2	6	1	0	6	0	5	5	3	2	1	4	1	2	2	2	5	1	2	7	no
33738	1	1464	1	0	12	-5	1	1	5	5	2	6	2	6	2	0	4	0	5	5	2	5	1	2	5	5	2	1	7	2	1	1	no
4325	2	5044	1	0	16	-9	1	1	4	6	4	4	8	10	2	3	4	1	1	1	5	4	2	4	1	1	5	7	7	1	6	6	no
75	2	1537	1	0	16	-7	4	1	4	1	7	5	4	9	1	0	6	0	1	2	2	5	4	3	4	1	1	3	4	6	4	3	no
11955	2	1536	1	0	15	-7	2	1	8	4	9	4	8	8	8	0	2	1	1	3	5	3	5	3	1	1	4	3	6	2	6	7	no
21815	2	1518	5	0	13	-5	1	2	7	6	3	4	5	2	1	3	1	0	5	4	5	2	2	3	5	5	7	1	7	3	2	3	no
29702	2	3147	2	0	15	-6	1	1	2	1	9	5	1	8	1	3	6	0	5	1	1	1	3	2	4	3	7	3	5	4	2	5	no
21643	2	2836	1	0	14	-2	1	1	9	1	2	5	6	10	2	3	5	2	1	2	5	4	1	4	3	3	5	2	3	4	6	7	no
9130	2	726	2	0	15	-5	1	1	8	3	6	3	8	6	2	0	4	3	4	4	3	5	1	4	3	4	7	2	2	5	6	7	no
6158	2	1910	3	0	16	-9	1	2	1	8	7	4	6	10	1	0	7	1	5	5	5	2	3	3	2	2	2	1	7	4	3	6	no
24423	2	1836	1	0	13	-7	4	1	9	7	6	3	9	10	2	3	5	2	3	3	2	2	1	1	3	1	5	2	6	2	1	7	no
6437	1	3776	1	0	13	-7	1	1	6	1	9	4	7	10	2	0	3	3	4	4	2	1	5	3	1	5	7	2	1	5	3	4	no
19574	2	107	1	1	12	-6	1	1	4	7	8	5	8	3	3	0	9	0	3	4	3	5	1	3	3	1	7	2	1	5	2	7	no
26149	2	1445	6	0	15	-6	1	3	3	3	7	5	1	8	4	0	7	0	4	1	4	2	5	5	2	5	4	1	7	1	6	7	no
30662	1	652	1	0	15	-8	1	1	1	1	8	6	1	9	2	0	8	3	2	1	4	1	1	3	4	2	7	2	7	5	1	6	no
24355	2	0	0	1	14	-7	1	0	2	2	7	5	8	10	2		7	2															no
28762	2	3248	2	1	13	-6	3	1	7	4	6	4	2	8	3	0	8	1	5	3	4	4	1	2	5	5	6	1	7	2	1	1	no
14965	2	5386	2	2	14	-8	4	2	2	3	4	5	7	9	1		7	2	1	1	3	1	1	2	1	2	7	1	1	5	5	6	no
695	2	469	0	1	16	-8	3	0	4	5	8	3	6	7	2	0	6	3	5	3	3	5	3	3	5	1	1	6	7	1	3	6	no
24441	2	2602	2	0	14	-5	4	1	3	1	6	5	6	8	2	0	1	3	2	3	3	2	4	3	3	2	7	2	7	5	2	5	no
21781	1	3372	1	0	12	-2	1	1	6	8	5	4	7	9	6		3	3															no
13401	1	3877	1	1	15	-8	1	1	2	6	1	4	9	10	3	6	4	2	1	5	5	1	1	1	5	3	3	2	1	5	5	6	no
18040	2	476	1	0	15	-6	3	1	7	3	6	4	5	10	6	0	3	0	1	1	4	3	2	1	2	3	7	2	5	1	6	7	no
16116	2	4316	1	1	13	-6	4	1	9	2	7	6	8	8	8	3	3	2	3	4	3	4	5	5	3	5	7	2	1	2	7	4	no
26471	2	1483	1	0	14	-6	4	1	2	2	7	4	6	5	1		3	0															no
37050	1	1774	1	0	15	-6	3	1	8	7	7	3	6	8	6	0	5	1	2	5	4	5	1	4	1	3	7	5	3	7	7	7	no
1752	2	0	2	0	15	-2	2	1	8	7	8	6	2	3	5	0	3	0	5	4	5	5	4	3	4	3	3	3	6	1	2	7	no
6908	1	4208	1	0	16	-8	1	1	1	4	9	5	7	10	3	6	7	2	5	1	1	4	2	4	3	2	5	3	4	1	2	3	no
