ID	payment_type	power_consumption	HHH	HGEW	MTREG0G	MTKAU0G	MTSTR0G	MTBEB0G	MTSTA0G	MTBON0G	MTADE0G	MTALT0G	MTFAM0G	MTKDI0G	MTKLE0G	MTKKL0G	MTKGB0G	MTKGL0G	SCMWGR2	SCMWGR3	SCMWGR4	SCMWGR5	SCMWGR6	SCMWGR7	SCMWGR21	SCMWGR22	PHARM1	PHARM2	PHARM3	PHARM4	PHARM5	PHARM6
112	1	3490	1	0	14	-8	1	1	7	3	8	4	4	7	2	0	5	1	3	2	5	3	2	3	3	1	2	1	1	6	6	7
2969	2	4157																														
1882	2	2903	1	0	13	-4	1	1	7	2	7	5	5	9	1	3	8	2	3	1	4	3	5	3	2	3	4	6	4	5	5	5
27176	2	5517	1	1	12	-4	2	1	9	4	5	5	6	6	4	0	6	0	5	5	5	5	1	5	1	1	7	1	4	5	4	3
1834	1	3838	1	0	15	-7	3	1	2	1	8	5	8	9	2	0	3	1	2	1	1	5	4	3	3	1	4	5	7	2	1	2
29777	2	1910	5	0	13	-5	1	2	4	3	9	5	4	8	1		7	0														
15380	1	2736	1	0	14	-8	1	1	1	5	5	4	5	8	3	0	4	0	1	1	5	5	4	5	4	4	4	1	1	6	6	7
29463	2	803	4	0	13	-7	1	2	6	1	9	6	6	10	2	0	6	0	1	5	3	1	1	4	4	1	4	1	3	5	3	3
16787	2	3115	2	0	16	-9	3	1	7	2	5	5	9	9	2	3	6	1	5	2	2	5	3	2	4	1	3	1	3	2	2	7
14524	2	1538	2	0	13	-8	1	1	4	4	9	5	3	10	6		5	1														
25308	2	2755	7	0	15	-6	1	3	7	4	9	5	5	1	1	3	1	2	5	2	4	1	1	1	5	1	5	1	7	3	3	5
31564	2	1423	5	0	16	-9	1	2	2	3	9	5	4	8	1	0	7	2	5	4	4	4	4	4	4	3	6	1	6	7	1	6
13268	2	4935																														
11838	2	1901	1	0	14	-6	1	1	3	1	9	4	6	5	4		1	2														
31764	2	1605	2	3	14	-8	3	2	5	4	9	4	9	9	3	0	3	2	5	1	2	5	2	1	5	1	7	1	1	4	7	7
34998	1	1	1	1	11	-4	1	1	9	3	5	4	9	4	7	0	1	2	4	2	3	5	1	3	4	4	2	2	7	1	1	5
9448	2	5747	2	1	16	-8	1	1	6	3	8	3	7	8	3	0	5	3	4	2	4	1	2	2	2	1	7	3	7	5	1	3
15274	2	2699	3	1	16	-8	2	2	9	7	8	4	4	1	4	0	8	0									1	1	1	7	3	6
18805	2	787	2	0	15	-9	1	1	6	6	4	4	3	5	1	0	5	0	5	5	4	2	1	3	5	4	3	1	6	7	2	5
1596	2	1708	2	0	16	-7	1	1	1	6	9	5	4	8	1	6	5	1	5	5	2	2	3	4	5	3	6	1	1	7	3	7
38203	2	3631	1	1	13	-5	1	1	3	3	5	6	5	10	1	3	6	1	5	1	2	5	1	1	3	3	6	3	4	5	3	2
38197	2	1361	0	2	15	-5	4	0	5	1	7	5	7	9	3	3	5	1	5	5	5	1	5	5	5	2	3	5	6	5	1	5
10331	1	3274	1	0	15	-4	2	1	7	3	6	6	6	7	3	3	3	1	2	1	2	5	1	4	5	2	1	6	7	1	4	6
16193	2	6660	1	0	14	-8	3	1	3	2	5	5	7	10	1	0	8	0	3	1	3	4	3	2	4	4	5	7	7	5	6	6
35954	2	1633	1	0	12	-2	3	1	9	5	5	4	6	10	5	0	5	1	5	1	4	2	5	5	5	3	1	6	7	4	2	5
10219	2	2707	2	0	16	-9	1	1	2	5	2	3	5	10	2	0	9	3	3	3	5	5	1	2	3	2	6	1	7	3	4	7
10302	1	1834	3	0	15	-4	1	2	2	2	4	3	5	9	2	0	5	0	5	1	1	4	5	2	4	2	7	2	1	5	3	6
20628	1	3733	1	0	12	-4	3	1	9	2	8	4	8	10	4		3	0														
35873	2	1751	8	0	14	-6	1	3	7	2	6	6	2	8	6	0	3	1	4	4	4	1	2	5	3	3	4	1	6	5	4	6
6917	1	2294	1	0	14	-6	4	1	5	7	7	3	9	10	1	0	8	3	4	5	3	5	2	5	3	3	7	3	4	5	1	4
30641	2	2206	8	0	13	-6	1	3	4	5	8	5	1	3	1	0	4	0	3	5	2	3	2	2	2	2	6	2	5	2	3	3
9066	1	2080	4	1	12	-5	1	2	4	7	7	4	3	9	2	3	5	0	2	1	4	1	5	3	2	2	7	3	4	5	1	2
6471	2	2199	1	0	12	-8	1	1	8	1	9	5	7	10	3		3	0														
2407	1	1958	5	0	16	-7	3	2	4	9	6	5	1	5	1	3	9	0	1	3	5	1	1	4	2	2	3	1	7	1	6	6
27181	2	1352	4	0	13	-6	1	2	3	6	2	6	5	5	3	6	3	1	3	3	3	1	2	2	3	1	1	4	1	2	7	5
21334	1	0	3	0	12	-4	1	2	2	8	8	3	7	10	2		7	1														
35467	2	1862	6	1	14	-3	3	3	6	3	7	4	5	9	3	0	3	0	2	5	4	3	2	5	3	2	5	1	4	5	4	3
2734	2	1539	9	0	13	-7	1	3	2	1	9	6	3	8	2	0	1	0	4	5	5	3	5	4	3	5	5	1	7	1	2	6
30571	1	4648	3	1	13	-4	3	2	5	4	8	4	7	9	1	0	9	0	1	4	3	3	2	1	4	1	1	6	7	3	2	4
19174	2	1251	4	0	15	-6	1	2	4	2	8	7	2	1	5	6	1	3	2	1	5	2	1	1	3	3	7	1	6	5	5	4
21756	2	1482	4	0	13	-6	1	2	4	5	9	3	4	7	2	3	1	0	5	5	3	5	1	1	1	2	1	1	7	2	2	7
35225	2	1769	4	1	13	-6	1	2	8	5	5	3	2	5	3	0	1	0	1	4	1	3	2	4	3	4	2	3	1	1	5	7
4616	2	1369	1	0	16	-8	1	1	1	5	9	6	5	9	1	0	2	3	1	4	4	4	1	3	5	2	1	7	7	4	2	7
15330	2	342	2	0	16	-6	1	1	1	4	3	5	1	2	2	0	3	0	3	2	5	4	3	1	3	5	1	1	6	7	1	6
13467	2	2042	8	0	13	-7	1	3	3	1	7	5	2	7	1	3	2	0	3	5	2	3	2	4	2	1	2	1	5	7	1	7
17751	2	4498	1	0	12	-8	1	1	6	2	7	3	7	10	1	3	5	1	5	5	1	5	5	5	3	2	7	2	2	4	6	6
18353	2	2304	1	0	13	-3	3	1	5	1	8	6	4	9	1	6	6	0	1	4	4	2	1	3	3	2	5	6	7	1	2	3
18431	1	1492	3	0	16	-8	3	2	1	7	7	5	5	9	4	0	8	1	5	4	1	3	2	4	4	3	5	1	3	3	2	7
8449	2	348	4	0	15	-2	1	2	2	7	2	5	3	6	8	0	1	0	1	5	3	3	1	2	3	3	3	1	7	1	3	2
14247	2	0	1	0	16	-3	1	1	2	5	9	4	6	1	1	0	1	0	3	1	2	5	2	4	5	3	4	6	7	5	4	4
36865	2	2078	1	0	14	-8	1	1	6	7	6	4	8	10	2	3	5	1	4	1	5	5	1	1	2	3	4	1	7	4	5	6
3556	1	79	2	0	16	-8	3	1	3	1	9	5	7	10	1		3	0														
20900	2	4053	1	0	14	-7	4	1	8	3	8	5	7	9	1	0	7	1	1	5	3	3	5	4	1	4	3	5	7	4	5	6
23033	2	2399	1	0	12	-9	1	1	2	9	6	4	8	10	2	3	3	0	4	2	1	1	3	2	1	5	1	3	3	4	1	5
7804	1	3141	1	0	13	-6	1	1	6	5	5	3	8	10	4		5	1														
4863	2	3177	2	0	16	-8	3	1	4	2	5	5	6	10	1	6	6	2	1	1	5	4	4	3	4	1	3	7	7	1	1	5
7051	2	4579	8	0	16	-2	1	3	3	3	4	5	2	9	1	0	3	0	2	4	2	5	4	3	4	2	4	2	5	2	1	6
3774	1	89	1	0	14	-9	4	1	5	3	9	6	9	10	1	0	5	1	1	5	4	3	1	3	5	3	1	7	7	6	5	7
13957	1	1965	4	0	13	-7	1	2	9	6	9	4	2	10	3		5	1														
38109	1	1454	7	0	16	-5	1	3	1	7	8	3	3	6	2	0	6	0	4	5	5	1	3	5	1	2	3	1	4	5	6	6
12205	1	870	1	1	16	-9	4	1	6	2	2	5	9	10	3	3	4	2	5	5	2	1	2	4	5	5	1	6	7	2	3	7
32657	2	3800	1	0	14	-6	3	1	3	4	8	3	8	9	2	0	7	0	2	4	3	5	5	4	4	4	2	2	6	4	5	7
36271	2	1225	1	0	16	-8	1	1	8	5	7	5	3	10	3	0	5	3	4	5	3	1	5	3	2	2	2	2	6	4	5	7
32020	2	1746	1	0	16	-7	4	1	2	2	8	6	7	10	4	0	7	0	1	5	2	1	3	5	2	2	6	1	6	1	5	7
2157	2	3719	4	0	15	-3	1	2	3	4	9	5	1	6	5	3	2	0	5	1	1	5	4	5	5	1	7	4	7	5	3	1
5387	2	482	2	0	16	-8	1	1	5	5	6	4	5	5	2	0	7	0	4	1	3	4	1	3	3	3	2	1	7	7	2	7
8169	2	2810	4	0	16	-8	1	2	1	8	9	3	9	5	1	0	6	1	3	5	3	5	5	5	3	3	2	1	7	7	2	7
19829	2	2848	1	0	14	-7	1	1	5	2	9	4	7	9	1	6	5	0	3	1	5	3	1	2	2	1	7	3	2	1	3	3
21860	2	722	2	2	15	-6	2	2	8	7	6	4	5	7	3	3	2	2	3	5	3	1	1	5	1	3	7	1	7	5	1	5
17490	2	841	3	0	16	-8	1	2	3	3	5	3	9	9	1	6	5	3	3	1	4	5	1	4	2	1	6	2	7	1	4	7
16776	2	1799	1	0	13	-5	3	1	4	6	8	5	6	6	2	6	2	0	2	2	2	4	5	3	2	3	5	2	3	5	6	7
3955	2	3243	2	1	15	-1	3	1	5	2	9	6	8	8	1	0	6	2	3	4	2	5	3	4	5	4	2	1	5	1	5	7
10251	2	3293	1	0	14	-8	1	1	1	1	9	7	3	8	1	3	2	0	4	5	1	1	1	5	1	1	4	3	3	4	1	2
17237	2	2597	5	0	16	-5	1	2	2	4	7	5	6	9	3	6	5	0	3	1	4	1	4	5	2	3	1	1	4	4	6	6
38505	1	706	1	0	13	-9	3	1	6	5	2	2	7	10	3		4	1														
28783	1	596	3	0	13	-5	1	2	2	7	9	3	6	9	2	3	7	1	2	2	1	2	1	4	5	2	3	1	6	5	1	6
30386	1	2719	1	0	16	-8	1	1	4	3	1	4	8	10	2	3	2	3	4	2	1	5	4	1	5	2	5	1	7	2	4	6
1451	2	5630	1	0	12	-9	1	1	2	2	6	5	5	10	1	0	6	1	5	1	4	5	2	2	2	2	6	2	1	5	4	6
36589	1	2440																														
18246	1	1651	1	2	12	-2	3	0	8	5	9	4	4	8	6	6	4	2	3	1	4	1	4	3	1	2	1	7	7	1	3	1
26063	2	9952	1	0	14	-7	3	1	6	2	4	5	5	10	2	3	7	3	5	1	4	1	1	5	3	5	7	1	1	3	7	7
21143	2	3194	1	0	12	-6	1	1	9	5	7	4	6	10	3		6	1														
32179	1	1431	4	1	15	-6	3	2	4	9	6	4	7	5	1	6	4	2	1	5	3	4	1	1	5	1	2	4	2	1	1	7
7475	2	1541	9	0	14	-8	1	3	2	3	9	6	1	3	3	0	1	2	3	2	4	1	1	4	2	2	6	4	2	5	3	6
12452	1	1009	3	0	14	-9	3	2	5	2	9	4	6	8	1	0	6	3		2			2				6	1	7	4	4	6
31320	1	1205	1	1	16	-9	3	1	4	4	5	3	9	9	3		4	1														
13702	2	1709	10	0	15	-5	1	4	2	4	3	3	4	9	3	0	8	0	5	5	5	1	3	1	1	4	5	4	2	5	3	6
27954	2	4783	1	0	14	-7	4	1	4	2	7	4	7	10	3		4	0														
19628	2	1492	3	2	15	-2	2	2	7	7	5	5	3	5	7	6	8	2	5	3	1	5	3	3	4	1	3	1	7	1	3	4
23027	2	2233	1	0	16	-7	1	1	8	1	7	6	7	8	2	6	2	0	3	1	3	3	1	3	4	2	7	2	7	1	5	7
2780	2	4726	1	0	16	-7	3	1	2	5	1	5	2	8	1	3	3	0	5	5	4	4	2	4	5	3	6	1	1	7	3	6
5839	2	1995	1	0	14	-8	3	1	4	4	4	4	6	8	3	3	8	0				2		1			1	7	3	1	5	1
419	1	970	5	0	12	-6	1	2	7	4	6	6	1	10	7		6	1														
28448	2	1683	8	0	15	-5	1	3	2	6	8	5	4	8	1	0	2	0	3	1	5	1	4	5	1	4	7	4	2	5	3	6
30057	2	3173	1	0	14	-7	3	1	6	3	4	3	6	2	5	0	2	0	1	1	4	2	1	2	5	1	7	7	7	4	3	5
31555	1	2073																														
34	2	3429	1	0	14	-5	1	1	4	6	9	6	6	9	7	3	7	0	3	1	1	4	4	2	4	1	7	1	7	5	1	1
9936	2	305	3	0	12	-8	1	2	2	2	4	5	4	10	3		3	0														
20550	2	3386	2	0	13	-7	1	1	5	2	6	4	8	10	3	0	1	0	1	2	4	2	4	4	2	1	7	2	1	5	4	6
37273	2	4610	1	0	16	-6	1	1	2	2	4	3	7	10	1	6	8	0	1	1	5	4	2	5	1	4	4	2	1	5	4	6
36824	2	4142																														
26410	2	1558	2	0	16	-8	1	1	1	3	5	4	4	10	1	3	6	0	1	1	5	2	3	1	4	1	2	1	1	5	6	7
8115	2	3051	2	0	15	-8	1	1	1	1	7	6	2	9	1	0	4	1	3	2	2	2	5	2	3	3	7	2	7	5	2	5
16206	2	3531	1	0	16	-9	1	1	1	2	9	4	5	9	2	3	3	0	5	1	1	2	5	4	4	1	7	3	6	1	4	4
16105	2	1	3	0	14	-9	3	2	7	1	9	5	6	10	2	3	1	3	1	4	3	3	3	4	1	4	6	7	7	4	6	7
18888	2	1709	0	1	13	-2	3	0	9	9	7	3	2	4	5	6	4	0	1	3	4	1	2	5	1	2	7	3	1	2	6	1
8327	2	1541	4	0	13	-9	1	2	6	4	9	4	4	6	2		6	2														
27620	2	1341	1	0	14	-9	1	1	8	5	8	5	5	3	1	6	6	0	1	4	3	1	2	5	1	4	3	1	7	1	4	6
34295	2	1864	1	0	15	-7	1	1	2	1	4	6	5	3	1	3	1	0	1	1	5	5	1	1	4	5	5	1	1	1	7	6
37476	2	1276																														
27108	2	3374	3	0	14	-8	3	2	1	1	9	6	7	2	6		6	0														
31203	2	2508	5	1	13	-4	3	2	6	8	7	3	6	5	4	3	4	0	1	4	5	2	1	3	4	1	6	6	3	2	5	3
24116	2	3457	1	0	14	-7	4	1	2	6	7	5	9	9	3	0	6	3	4	4	3	2	3	3	4	1	5	2	7	4	3	7
13585	2	836	5	2	16	-8	3	3	6	6	6	5	7	8	2	3	9	1	5	2	1	5	4	4	5	1	6	1	1	4	2	7
15653	2	1349	10	0	13	-9	1	4	1	3	3	6	2	10	4	0	6	3	5	5	4	2	4	5	3	4	2	2	5	1	1	6
18993	2	5106	1	1	16	-7	1	1	7	2	7	3	7	7	3	0	8	1	5	1	5	2	1	5	4	2	6	2	3	2	5	5
34885	2	2152	1	0	16	-8	1	1	1	1	8	5	2	4	4	3	4	2	1	4	4	1	1	5	1	1	1	1	1	1	7	7
31133	2	3111	1	0	15	-4	1	1	2	3	9	4	9	10	3	0	1	1	1	2	2	3	5	3	1	3	7	5	2	5	6	4
3810	2	1209																														
7906	1	816	7	0	13	-6	1	3	3	6	3	4	2	10	2	0	5	0	1	5	2	4	5	3	1	3	2	2	5	1	1	7
18122	1	9395	2	0	14	-8	4	1	3	3	6	4	6	10	2	6	7	0									5	1	7	1	3	7
7651	1	3993	1	0	16	-7	1	1	1	3	7	5	5	9	3	0	6	1	4	2	2	4	2	4	3	2	2	3	3	5	2	3
17666	2	2437	1	0	12	-5	1	1	7	7	3	3	8	9	2	3	7	0	4	2	4	2	1	1	2	3	7	1	7	4	1	1
23088	2	1341																														
2368	2	73																														
24714	2	2941																														
8293	2	9799	1	0	14	-9	3	1	5	3	4	4	5	10	1	0	6	2	1	4	2	5	3	3	1	3	5	5	1	4	2	7
252	2	1816	4	0	13	-5	2	2	7	6	6	6	3	7	6	3	8	0	5	4	1	2	4	4	1	2	3	1	7	2	4	7
1084	2	448	1	0	12	-5	1	1	9	4	9	4	3	10	1	0	7	1	4	2	5	5	5	5	1	4	7	5	6	6	3	1
34179	2	890	9	0	13	-9	1	3	2	1	2	6	1	2	1	0	4	0	5	5	5	2	1	5	4	2	2	2	5	1	2	7
36109	2	2183	1	0	15	-8	1	1	4	2	9	5	8	8	2	3	3	3	5	3	2	5	5	5	5	2	3	1	7	2	4	6
3635	1	443	1	0	14	-2	1	1	6	3	3	3	6	8	8	0	3	1	3	1	2	2	3	2	4	1	7	3	4	5	1	1
14920	1	751	1	1	16	-8	4	1	5	1	6	4	9	10	3	6	3	1	1	5	5	3	1	3	5	1	1	7	7	1	4	7
6834	1	1325	2	0	16	-9	1	1	1	1	8	5	4	5	3	3	5	0	2	1	4	1	4	5	2	2	7	1	1	5	5	7
15414	2	1927	2	0	16	-7	3	1	2	1	8	5	5	9	1		2	2														
16826	2	494																														
10192	2	2630	1	0	16	-8	1	1	4	3	8	4	8	4	1	3	1	0	4	1	2	3	2	4	3	1	7	2	7	4	5	7
6106	2	1585	5	0	16	-8	1	2	3	2	6	6	1	3	1	3	5	0	4	5	4	3	3	4	2	5	1	1	7	2	2	7
26717	2	3862																														
36776	2	1732	4	1	13	-6	1	2	4	2	8	5	4	1	6	0	5	1	1	1	4	1	4	5	4	2	7	2	1	5	4	6
7859	2	3828	2	0	16	-7	1	1	1	5	9	4	7	10	2		5	1														
29723	1	285	1	0	16	-5	1	1	2	3	9	6	5	10	1	0	8	0	5	5	3	5	2	4	5	2	6	2	2	4	6	5
166	2	1283	2	0	14	-8	1	1	1	2	9	5	6	8	1		8	0														
36818	2	728	5	0	13	-4	2	2	9	4	2	6	4	6	1	0	3	2	3	5	5	1	3	3	5	5	1	5	7	3	5	3
35675	2	4131	3	0	13	-7	3	2	4	8	7	4	8	8	1		5	2														
29111	2	2639	1	1	15	-5	3	1	4	1	8	6	5	10	6	3	1	2	3	5	5	1	2	3	3	4	1	5	5	5	1	7
2131	2	1538	2	2	14	-9	2	2	9	4	5	4	5	3	5	6	3	3	1	1	5	1	1	5	1	3	1	1	2	4	7	7
34068	1	1147	2	0	15	-5	1	1	5	8	2	6	9	8	3	6	4	1	1	5	5	2	1	2	5	5	1	3	5	1	1	4
25327	2	5572																														
8378	2	4762	2	0	16	-7	1	1	5	2	7	6	8	9	1	0	5	2	4	5	2	5	3	5	2	2	3	2	6	1	7	6
28353	1	0	0	1	15	-5	2	0	9	7	5	4	8	4	10		5	0														
34435	2	3827	3	0	13	-6	3	2	8	8	7	5	4	9	4	0	4	1	4	1	4	4	1	2	5	2	1	2	6	1	1	5
10318	2	3869	2	0	16	-9	1	1	1	1	6	7	2	9	3	3	5	2	1	1	5	1	2	1	4	2	7	2	7	4	4	7
20825	2	1311																														
28710	2	651	6	0	15	-2	1	3	6	6	9	5	2	3	1	3	8	0	5	5	4	4	2	3	5	1	7	2	7	2	1	6
20997	2	5529	2	0	16	-9	1	1	6	1	7	5	6	10	4	3	7	3	1	5	2	5	4	5	1	5	3	1	7	3	4	7
9409	2	1442	12	0	13	-5	1	4	5	1	9	5	1	2	3	3	4	0	5	1	5	4	1	1	4	1	5	1	7	2	4	6
13101	2	6359	2	1	16	-4	1	1	8	1	7	5	9	6	2	0	9	0	4	1	3	5	3	2	1	5	5	6	2	2	7	6
31752	2	2923	1	0	14	-5	3	1	6	6	8	5	7	7	9	0	9	2	5	3	5	2	1	5	5	4	4	1	3	1	2	7
9311	2	1867	1	0	16	-9	1	1	1	1	9	5	6	10	1	3	4	3	1	1	4	1	1	2	2	2	7	1	1	5	5	7
7975	2	0	1	0	11	-4	2	1	5	1	6	6	7	8	7	0	1	0	1	1	3	1	3	1	1	4	7	5	6	4	1	4
10763	1	3349	2	0	14	-9	1	1	2	8	5	3	8	10	1		6	1														
21429	2	3194	2	0	16	-9	1	1	3	7	7	4	6	7	1	3	7	0	3	1	2	3	3	4	3	1	6	1	1	5	6	7
27308	2	8971	2	1	16	-9	1	1	6	1	6	4	7	9	1	0	5	2	3	1	2	1	1	3	4	5	7	1	7	4	3	7
31648	2	2328	1	0	16	-9	1	1	3	1	4	6	4	10	1	3	2	0	1	5	5	2	1	1	4	1	3	2	7	4	4	7
3677	1	1093	4	0	14	-5	1	2	2	9	3	4	2	9	1	3	7	0	5	5	2	5	5	5	3	5	7	2	7	6	2	6
10586	2	6069																														
6231	1	390	1	0	13	-4	1	1	7	2	6	4	6	9	2		2	1														
6833	2	760	4	0	14	-6	1	2	1	5	6	4	2	8	3	0	3	1	3	1	1	3	1	4	5	5	2	1	7	7	1	7
22241	2	993																														
33491	2	3875																														
29494	2	1127	3	0	13	-6	1	2	2	3	7	4	8	9	1	6	6	0	5	1	3	3	1	1	5	1	5	1	7	2	4	7
6620	1	3753	3	0	14	-8	3	2	5	9	3	1	9	6	4		9	2														
12728	2	4020	1	0	14	-5	3	1	6	5	8	2	8	7	1	0	6	0	4	5	5	1	3	1	4	5	5	1	1	5	5	7
17010	1	1261																														
22470	2	5004	4	0	12	-4	1	2	9	6	5	3	8	9	8	6	2	0	2	5	5	5	1	4	1	1	7	1	4	2	4	3
24470	2	4025	1	0	15	-7	1	1	2	8	8	5	4	5	5	0	5	0	2	1	5	5	1	1	5	5	7	5	3	1	6	7
11351	1	1401	4	0	16	-2	3	2	2	7	3	3	5	7	2	0	8	0	2	5	1	4	4	5	3	3	5	2	6	1	3	5
25473	2	4428	1	0	14	-6	1	1	8	3	5	3	9	10	4		4	1														
23546	2	3919	4	0	16	-9	1	2	1	3	9	6	5	7	5	0	8	1	1	1	3	5	3	1	1	2	6	1	4	6	5	5
10865	2	3014	2	0	15	-9	1	1	7	6	8	6	4	9	4	3	3	2	5	4	2	5	5	3	4	4	7	1	3	2	2	6
30381	2	1891	4	0	13	-6	4	2	3	2	6	4	5	6	4	0	2	1	5	4	1	4	5	1	5	1	3	2	5	4	1	2
11651	2	1958	9	0	15	-6	1	3	6	3	7	7	1	7	2	0	1	2	2	1	5	1	2	1	2	2	7	4	4	5	5	6
3160	2	2732	1	0	13	-3	1	1	7	3	8	2	7	10	2	0	4	0	4	5	2	3	4	4	1	1	7	5	3	6	5	2
7092	2	372	2	0	13	-6	3	1	8	9	7	4	8	8	3	6	2	0	1	5	1	4	2	3	3	1	7	1	5	1	2	1
36945	2	2272	1	0	16	-8	2	1	2	1	9	4	8	6	2		4	1	2	4	5	4	1	2	5	1	6	1	1	5	5	7
16657	2	1455	6	1	13	-6	1	3	4	2	9	5	2	5	5	0	1	0	4	5	5	3	3	4	2	3	3	1	6	2	1	2
7525	2	6553	1	0	16	-6	1	1	3	2	7	5	5	8	1	3	6	0	1	1	5	2	1	2	2	4	7	2	1	4	3	4
21667	2	1412	8	0	14	-8	1	3	5	8	5	4	5	9	4		2	0														
23247	2	1	1	0	15	-5	3	1	4	9	5	5	3	6	4	6	5	0	1	2	5	4	2	1	5	1	5	5	6	1	1	5
20134	2	1222	1	0	16	-7	3	1	2	4	3	4	7	6	1	0	7	0	3	3	3	3	5	3	3	1	6	2	1	5	4	6
36455	2	1806	2	0	16	-7	5	1	2	4	8	4	5	7	2	0	1	0	1	3	4	4	1	3	4	1	7	4	1	5	3	7
6979	1	5958																														
36556	2	680	1	1	15	-5	2	1	7	7	9	6	3	6	1	0	6	0		3			1				7	6	3	6	1	5
23541	2	6812	1	0	16	-9	3	1	2	4	6	6	7	4	1		9	0														
4417	1	3578	1	0	16	-8	1	1	3	1	7	5	5	10	2	0	5	1	1	4	5	1	2	1	3	1	1	1	1	2	7	7
19245	3	2	1	0	16	-4	3	1	7	1	7	5	6	10	7	0	1	3	1	2	4	2	1	3	5	4	3	7	7	5	6	6
21800	2	1057	6	0	16	-2	1	3	1	2	9	6	3	3	2		1	0														
17115	1	764	1	1	12	-5	4	1	4	1	9	5	7	10	3	3	5	2	2	5	5	1	5	4	1	3	6	2	1	4	5	7
19435	2	4210	1	0	15	-9	4	1	2	3	9	5	7	9	3	3	2	1	1	5	3	4	4	4	1	2	3	7	7	4	3	6
26380	2	1862	7	0	13	-6	1	3	4	2	8	6	4	5	1	6	5	0	5	5	4	4	2	3	5	1	6	2	5	2	1	7
13555	2	999	3	0	15	-6	1	2	2	9	6	3	5	5	1	0	9	0	1	5	5	5	1	5	4	3	6	1	3	7	2	7
34598	2	2731	2	0	15	-7	1	1	4	2	8	5	6	5	2	0	1	0	5	4	3	4	3	5	3	3	7	1	7	2	1	2
34281	1	481	5	1	13	-4	3	2	5	5	5	2	8	9	2	3	6	0	3	1	5	5	2	1	5	5	1	3	7	5	3	5
11030	1	1372	2	0	15	-5	4	1	7	2	9	5	8	8	3	3	2	1	3	1	2	4	1	5	5	1	2	1	6	2	1	5
13448	2	2680	1	0	16	-8	1	1	5	1	9	6	6	9	3	3	4	0	3	3	4	3	2	4	2	2	3	1	2	1	6	7
26846	2	816	3	0	16	-2	1	2	2	9	2	3	2	2	2		9	0														
936	2	2101	2	0	15	-6	3	1	7	4	5	4	8	9	6	0	9	0	1	4	4	4	3	4	5	2	1	6	7	1	5	7
30459	1	3866	1	0	14	-8	1	1	4	1	7	4	8	10	1		9	1														
28692	1	1692	1	0	14	-9	1	1	7	3	9	6	9	10	1		7	1														
29218	1	95	6	0	11	-4	3	3	4	8	8	5	2	5	1	0	9	0	4	4	4	3	1	5	4	4	1	5	1	4	4	2
967	2	1850	1	0	12	-2	1	1	8	2	9	7	6	10	4	0	5	2	5	3	1	3	1	3	3	1	6	3	7	5	1	4
21539	1	1793	1	0	12	-4	1	1	3	7	7	4	5	9	1	0	2	2	3	1	3	4	1	1	5	2	6	3	7	5	1	5
